,level_0,index,MONTH,POINTS,DAILY_DIFF,TEMP_C,LONGITUDE,LATITUDE,DEPTH,RCLASS,COORDS
0,0,703,9,-166.21969_23.866072,0.9650999999999996,26.992149421894116,-166.21969,23.866072,3.0,Deep Lagoon,POINT (-166.21969 23.866072)
1,1,699,9,-166.17375_23.64515,0.894599999999997,27.01264311830761,-166.17375,23.64515,1.9,Inner Reef Flat,POINT (-166.17375 23.64515)
2,2,697,9,-166.167495_23.738133,0.8322000000000003,27.2286227781749,-166.167495,23.738133,2.7,Inner Reef Flat,POINT (-166.167495 23.738133)
3,3,701,9,-166.179725_23.638816,0.5382999999999996,26.93372195121949,-166.179725,23.638816,10.6,Reef Slope,POINT (-166.179725 23.638816)
4,4,708,9,-166.273074_23.880466,0.36659999999999826,26.89846814356445,-166.273074,23.880466,8.7,Reef Slope,POINT (-166.273074 23.880466)
5,5,709,9,-166.275156_23.856237,0.5417000000000023,27.067729089151914,-166.275156,23.856237,7.5,Deep Lagoon,POINT (-166.275156 23.856237)
6,6,775,10,-159.447488_21.86885,0.4129000000000005,26.075070916204744,-159.447488,21.86885,6.1,Plateau,POINT (-159.447488 21.86885)
7,7,751,9,-178.306223_28.44761,0.9695,26.937098349261564,-178.306223,28.44761,0.9,Inner Reef Flat,POINT (-178.306223 28.44761)
8,8,760,9,-178.368404_28.429244,1.049199999999999,26.936890593343023,-178.368404,28.429244,1.1,Outer Reef Flat,POINT (-178.368404 28.429244)
9,9,671,8,-178.34321_28.418214,0.9805500000000009,27.367393346774215,-178.34321,28.418214,0.3,Deep Lagoon,POINT (-178.34321 28.418214)
10,10,768,10,-156.834676_20.87053,0.3146000000000022,26.071394139306502,-156.834676,20.87053,14.6,Reef Slope,POINT (-156.834676 20.87053)
11,11,713,9,-171.738929_25.77952,1.5989500000000003,27.750059187499943,-171.738929,25.77952,1.21,Outer Reef Flat,POINT (-171.738929 25.77952)
12,12,714,9,-171.742645_25.772464,0.6740999999999993,27.58618829838321,-171.742645,25.772464,2.93,Inner Reef Flat,POINT (-171.742645 25.772464)
13,13,728,9,-173.997019_26.078398,0.32409999999999783,27.95670835896005,-173.997019,26.078398,14.5,Reef Slope,POINT (-173.997019 26.078398)
14,14,718,9,-173.915897_25.967666,0.36980000000000146,27.90328723625945,-173.915897,25.967666,9.33,Deep Lagoon,POINT (-173.915897 25.967666)
15,15,725,9,-173.994387_25.986994,0.36909999999999954,27.810012268582447,-173.994387,25.986994,14.5,Deep Lagoon,POINT (-173.994387 25.986994)
16,16,763,10,-156.584439_20.790804,0.5274999999999999,26.227939200680233,-156.584439,20.790804,11.9,Reef Slope,POINT (-156.584439 20.790804)
17,17,762,10,-156.497131_20.630286,0.23900000000000077,26.163615144574873,-156.497131,20.630286,10.7,Reef Slope,POINT (-156.497131 20.630286)
18,18,438,6,-158.168525_21.580869,1.0137,25.983507940446653,-158.168525,21.580869,5.49,Outer Reef Flat,POINT (-158.168525 21.580869)
19,19,737,9,-175.780832_27.957664,1.262599999999999,27.2022187030336,-175.780832,27.957664,1.1,Inner Reef Flat,POINT (-175.780832 27.957664)
20,20,732,9,-175.779344_27.802625,0.6907999999999994,27.29213818530698,-175.779344,27.802625,2.0,Deep Lagoon,POINT (-175.779344 27.802625)
21,21,746,9,-175.978716_27.774736,0.6693999999999996,27.19938872237749,-175.978716,27.774736,1.7,Outer Reef Flat,POINT (-175.978716 27.774736)
22,22,739,9,-175.831379_27.898,1.1719000000000008,27.818491965526825,-175.831379,27.898,1.2,Inner Reef Flat,POINT (-175.831379 27.898)
23,23,744,9,-175.894302_27.911827,0.8713000000000015,27.28138326848246,-175.894302,27.911827,2.9,Reef Crest,POINT (-175.894302 27.911827)
24,24,734,9,-175.780467_27.78571,1.2912999999999997,26.971758431372557,-175.780467,27.78571,13.5,Reef Slope,POINT (-175.780467 27.78571)
