,level_0,index,MONTH,POINTS,DAILY_DIFF,TEMP_C,LONGITUDE,LATITUDE,DEPTH,RCLASS,COORDS
0,0,52,3,118.965783333333_-17.53582,1.3504659999999973,29.808450278142182,118.965783333333,-17.53582,4.1,Deep Lagoon,POINT (118.965783333333 -17.53582)
1,1,85,4,119.37043_-17.28383,0.7297140000000013,30.12775716053239,119.37043,-17.28383,5.15,Deep Lagoon,POINT (119.37043 -17.28383)
2,2,90,4,119.649183333333_-17.0657,0.7945270000000004,29.99049498862842,119.649183333333,-17.0657,6.0,Reef Slope,POINT (119.649183333333 -17.0657)
3,3,89,4,119.645983333333_-17.0754833333333,0.49494349999999976,29.729275329086235,119.645983333333,-17.0754833333333,7.0,Deep Lagoon,POINT (119.645983333333 -17.0754833333333)
4,4,312,12,124.74765_-14.91495,0.3820060000000005,31.067904191532232,124.74765,-14.91495,,Back Reef Slope,POINT (124.74765 -14.91495)
5,5,315,12,135.139758333_-11.9215233,1.1774404999999994,31.379314493100033,135.139758333,-11.9215233,6.2,Back Reef Slope,POINT (135.139758333 -11.9215233)
6,6,316,12,135.15241667_-11.7055667,1.0586990000000007,31.57440079099461,135.15241667,-11.7055667,3.7,Terrestrial Reef Flat,POINT (135.15241667 -11.7055667)
7,7,314,12,135.030118333_-11.913276,0.7553129999999992,31.395617370295696,135.030118333,-11.913276,4.5,Back Reef Slope,POINT (135.030118333 -11.913276)
8,8,313,12,134.9067_-12.042667,0.9410920000000011,31.474759392505497,134.9067,-12.042667,3.0,Terrestrial Reef Flat,POINT (134.9067 -12.042667)
9,9,317,12,135.1726_-11.69205,1.058451999999999,31.506372147849603,135.1726,-11.69205,3.2,Back Reef Slope,POINT (135.1726 -11.69205)
10,10,100,4,123.556528_-12.524167,0.6942650000000015,29.909779152542406,123.556528,-12.524167,8.5,Reef Slope,POINT (123.556528 -12.524167)
11,11,288,11,122.98982_-12.2396,2.028862000000002,29.987864937499914,122.98982,-12.2396,4.7,Deep Lagoon,POINT (122.98982 -12.2396)
12,12,80,3,136.8196_-12.07423,0.8105939999999983,30.480670066532245,136.8196,-12.07423,4.5,Back Reef Slope,POINT (136.8196 -12.07423)
13,13,68,3,122.99959_-12.22448,1.3547000000000011,30.937912122085844,122.99959,-12.22448,5.0,Deep Lagoon,POINT (122.99959 -12.22448)
14,14,25,1,136.94809_-13.64769,1.1612839999999984,30.66256767137099,136.94809,-13.64769,2.0,Shallow Lagoon,POINT (136.94809 -13.64769)
15,15,84,4,118.97352_-17.54793,0.8502445000000005,30.17185142499997,118.97352,-17.54793,3.0,Reef Slope,POINT (118.97352 -17.54793)
16,16,87,4,119.6343_-17.11484,0.19007299999999994,30.4665348840278,119.6343,-17.11484,6.0,Deep Lagoon,POINT (119.6343 -17.11484)
17,17,88,4,119.63471_-17.11528,0.395111,30.52642386666669,119.63471,-17.11528,3.0,Deep Lagoon,POINT (119.63471 -17.11528)
18,18,91,4,119.649688_-17.066017,0.5351679999999988,30.38763522222218,119.649688,-17.066017,3.0,Reef Slope,POINT (119.649688 -17.066017)
19,19,319,12,136.72989_-13.64086,1.7520690000000023,31.077617347446175,136.72989,-13.64086,2.0,Sheltered Reef Slope,POINT (136.72989 -13.64086)
20,20,102,4,123.579695_-12.526722,1.0547000000000004,31.222215191986667,123.579695,-12.526722,1.0,Deep Lagoon,POINT (123.579695 -12.526722)
21,21,94,4,121.915_-13.9238,0.5862989999999986,30.72597252847225,121.915,-13.9238,6.3,Reef Slope,POINT (121.915 -13.9238)
22,22,95,4,121.948_-14.0793,0.44044850000000046,30.437833560763643,121.948,-14.0793,8.3,Reef Slope,POINT (121.948 -14.0793)
23,23,305,12,121.777_-14.069,1.0019010000000002,30.0480497432796,121.777,-14.069,6.0,Deep Lagoon,POINT (121.777 -14.069)
24,24,309,12,122.96898_-12.22458,1.2536069999999988,29.424480260255518,122.96898,-12.22458,19.7,Reef Slope,POINT (122.96898 -12.22458)
25,25,21,1,136.5806_-12.08402,0.7796909999999997,30.857731243279655,136.5806,-12.08402,3.2,Terrestrial Reef Flat,POINT (136.5806 -12.08402)
26,26,65,3,122.96895_-12.22465,1.579668999999999,30.20308411498485,122.96895,-12.22465,4.5,Reef Slope,POINT (122.96895 -12.22465)
27,27,81,3,136.89105_-12.4161,1.0111530000000002,30.49943489986551,136.89105,-12.4161,2.9,Terrestrial Reef Flat,POINT (136.89105 -12.4161)
28,28,93,4,121.876916666667_-13.9851333333333,0.2531255000000012,30.811844307291558,121.876916666667,-13.9851333333333,7.4,Deep Lagoon,POINT (121.876916666667 -13.9851333333333)
29,29,101,4,123.574138_-12.525806,1.4728999999999992,31.082440436241594,123.574138,-12.525806,2.0,Deep Lagoon,POINT (123.574138 -12.525806)
30,30,86,4,119.37692_-17.28428,0.8206930000000003,30.276943049305537,119.37692,-17.28428,6.0,Reef Slope,POINT (119.37692 -17.28428)
31,31,254,10,119.383962_-17.355232,0.8302160000000001,26.232310237499995,119.383962,-17.355232,2.9,Reef Crest,POINT (119.383962 -17.355232)
